"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"55-64 years"	"55-64"	"Haemolytic anaemias"	"D55-D59"	114	42403677	0.3
	"55-64 years"	"55-64"	"Aplastic and other anaemias"	"D60-D64"	403	42403677	1.0
	"55-64 years"	"55-64"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	494	42403677	1.2
	"55-64 years"	"55-64"	"Other diseases of blood and blood-forming organs"	"D70-D76"	215	42403677	0.5
	"55-64 years"	"55-64"	"Certain disorders involving the immune mechanism"	"D80-D89"	420	42403677	1.0
	"55-64 years"	"55-64"	"Disorders of thyroid gland"	"E00-E07"	217	42403677	0.5
	"55-64 years"	"55-64"	"Diabetes mellitus"	"E10-E14"	18002	42403677	42.5
	"55-64 years"	"55-64"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	106	42403677	0.2
	"55-64 years"	"55-64"	"Disorders of other endocrine glands"	"E20-E34"	105	42403677	0.2
	"55-64 years"	"55-64"	"Malnutrition"	"E40-E46"	751	42403677	1.8
	"55-64 years"	"55-64"	"Other nutritional deficiencies"	"E50-E64"	64	42403677	0.2
	"55-64 years"	"55-64"	"Obesity and other hyperalimentation"	"E65-E68"	2702	42403677	6.4
	"55-64 years"	"55-64"	"Metabolic disorders"	"E70-E88"	4208	42403677	9.9
	"55-64 years"	"55-64"	"Organic, including symptomatic, mental disorders"	"F01-F09"	1317	42403677	3.1
	"55-64 years"	"55-64"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	6378	42403677	15.0
	"55-64 years"	"55-64"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	128	42403677	0.3
	"55-64 years"	"55-64"	"Mood [affective] disorders"	"F30-F39"	104	42403677	0.2
	"55-64 years"	"55-64"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	43	42403677	0.1
	"55-64 years"	"55-64"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	62	42403677	0.1
	"55-64 years"	"55-64"	"Mental retardation"	"F70-F79"	100	42403677	0.2
	"55-64 years"	"55-64"	"Disorders of psychological development"	"F80-F89"	23	42403677	0.1
	"55-64 years"	"55-64"	"Unspecified mental disorder"	"F99-F99"	10	42403677	Unreliable
	"55-64 years"	"55-64"	"Inflammatory diseases of the central nervous system"	"G00-G09"	261	42403677	0.6
	"55-64 years"	"55-64"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	2116	42403677	5.0
	"55-64 years"	"55-64"	"Extrapyramidal and movement disorders"	"G20-G25"	1044	42403677	2.5
	"55-64 years"	"55-64"	"Other degenerative diseases of the nervous system"	"G30-G31"	2446	42403677	5.8
	"55-64 years"	"55-64"	"Demyelinating diseases of the central nervous system"	"G35-G37"	1229	42403677	2.9
	"55-64 years"	"55-64"	"Episodic and paroxysmal disorders"	"G40-G47"	838	42403677	2.0
	"55-64 years"	"55-64"	"Nerve, nerve root and plexus disorders"	"G50-G58"	10	42403677	Unreliable
	"55-64 years"	"55-64"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	120	42403677	0.3
	"55-64 years"	"55-64"	"Diseases of myoneural junction and muscle"	"G70-G72"	372	42403677	0.9
	"55-64 years"	"55-64"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	580	42403677	1.4
	"55-64 years"	"55-64"	"Other disorders of the nervous system"	"G90-G98"	2775	42403677	6.5
	"55-64 years"	"55-64"	"Diseases of middle ear and mastoid"	"H65-H74"	11	42403677	Unreliable
	"55-64 years"	"55-64"	"Chronic rheumatic heart diseases"	"I05-I09"	436	42403677	1.0
	"55-64 years"	"55-64"	"Hypertensive diseases"	"I10-I15"	16450	42403677	38.8
	"55-64 years"	"55-64"	"Ischaemic heart diseases"	"I20-I25"	53125	42403677	125.3
	"55-64 years"	"55-64"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	2765	42403677	6.5
	"55-64 years"	"55-64"	"Other forms of heart disease"	"I30-I51"	20755	42403677	48.9
	"55-64 years"	"55-64"	"Cerebrovascular diseases"	"I60-I69"	14153	42403677	33.4
	"55-64 years"	"55-64"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	2868	42403677	6.8
	"55-64 years"	"55-64"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	982	42403677	2.3
	"55-64 years"	"55-64"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	94	42403677	0.2
	"55-64 years"	"55-64"	"Acute upper respiratory infections"	"J00-J06"	26	42403677	0.1
	"55-64 years"	"55-64"	"Influenza and pneumonia"	"J09-J18"	6295	42403677	14.8
	"55-64 years"	"55-64"	"Other acute lower respiratory infections"	"J20-J22"	33	42403677	0.1
	"55-64 years"	"55-64"	"Other diseases of upper respiratory tract"	"J30-J39"	102	42403677	0.2
	"55-64 years"	"55-64"	"Chronic lower respiratory diseases"	"J40-J47"	18816	42403677	44.4
	"55-64 years"	"55-64"	"Lung diseases due to external agents"	"J60-J70"	1736	42403677	4.1
	"55-64 years"	"55-64"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	2140	42403677	5.0
	"55-64 years"	"55-64"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	208	42403677	0.5
	"55-64 years"	"55-64"	"Other diseases of pleura"	"J90-J94"	209	42403677	0.5
	"55-64 years"	"55-64"	"Other diseases of the respiratory system"	"J96-J98"	2444	42403677	5.8
	"55-64 years"	"55-64"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	36	42403677	0.1
	"55-64 years"	"55-64"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	1085	42403677	2.6
	"55-64 years"	"55-64"	"Diseases of appendix"	"K35-K38"	78	42403677	0.2
	"55-64 years"	"55-64"	"Hernia"	"K40-K46"	240	42403677	0.6
	"55-64 years"	"55-64"	"Noninfective enteritis and colitis"	"K50-K52"	229	42403677	0.5
	"55-64 years"	"55-64"	"Other diseases of intestines"	"K55-K63"	2609	42403677	6.2
	"55-64 years"	"55-64"	"Diseases of peritoneum"	"K65-K66"	422	42403677	1.0
	"55-64 years"	"55-64"	"Diseases of liver"	"K70-K76"	19598	42403677	46.2
	"55-64 years"	"55-64"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	1419	42403677	3.3
	"55-64 years"	"55-64"	"Other diseases of the digestive system"	"K90-K92"	1316	42403677	3.1
	"55-64 years"	"55-64"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	489	42403677	1.2
	"55-64 years"	"55-64"	"Papulosquamous disorders"	"L40-L44"	17	42403677	Unreliable
	"55-64 years"	"55-64"	"Urticaria and erythema"	"L50-L53"	25	42403677	0.1
	"55-64 years"	"55-64"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	268	42403677	0.6
	"55-64 years"	"55-64"	"Arthropathies"	"M00-M25"	364	42403677	0.9
	"55-64 years"	"55-64"	"Systemic connective tissue disorders"	"M30-M35"	722	42403677	1.7
	"55-64 years"	"55-64"	"Dorsopathies"	"M40-M54"	200	42403677	0.5
	"55-64 years"	"55-64"	"Soft tissue disorders"	"M60-M79"	456	42403677	1.1
	"55-64 years"	"55-64"	"Osteopathies and chondropathies"	"M80-M94"	411	42403677	1.0
	"55-64 years"	"55-64"	"Glomerular diseases"	"N00-N07"	106	42403677	0.2
	"55-64 years"	"55-64"	"Renal tubulo-interstitial diseases"	"N10-N15"	216	42403677	0.5
	"55-64 years"	"55-64"	"Renal failure"	"N17-N19"	6090	42403677	14.4
	"55-64 years"	"55-64"	"Urolithiasis"	"N20-N23"	84	42403677	0.2
	"55-64 years"	"55-64"	"Other disorders of kidney and ureter"	"N25-N28"	794	42403677	1.9
	"55-64 years"	"55-64"	"Other diseases of urinary system"	"N30-N39"	1083	42403677	2.6
	"55-64 years"	"55-64"	"Diseases of male genital organs"	"N40-N50"	120	42403677	0.3
	"55-64 years"	"55-64"	"Disorders of breast"	"N60-N64"	12	42403677	Unreliable
	"55-64 years"	"55-64"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	26	42403677	0.1
	"55-64 years"	"55-64"	"Noninflammatory disorders of female genital tract"	"N80-N98"	26	42403677	0.1
	"55-64 years"	"55-64"	"Congenital malformations of the nervous system"	"Q00-Q07"	60	42403677	0.1
	"55-64 years"	"55-64"	"Congenital malformations of the circulatory system"	"Q20-Q28"	230	42403677	0.5
	"55-64 years"	"55-64"	"Other congenital malformations of the digestive system"	"Q38-Q45"	12	42403677	Unreliable
	"55-64 years"	"55-64"	"Congenital malformations of the urinary system"	"Q60-Q64"	83	42403677	0.2
	"55-64 years"	"55-64"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	17	42403677	Unreliable
	"55-64 years"	"55-64"	"Other congenital malformations"	"Q80-Q89"	101	42403677	0.2
	"55-64 years"	"55-64"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	749	42403677	1.8
	"55-64 years"	"55-64"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	431	42403677	1.0
	"55-64 years"	"55-64"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	41	42403677	0.1
	"55-64 years"	"55-64"	"Symptoms and signs involving the nervous and musculoskeletal systems"	"R25-R29"	10	42403677	Unreliable
	"55-64 years"	"55-64"	"General symptoms and signs"	"R50-R68"	1039	42403677	2.5
	"55-64 years"	"55-64"	"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"	"R90-R94"	38	42403677	0.1
	"55-64 years"	"55-64"	"Ill-defined and unknown causes of mortality"	"R95-R99"	1944	42403677	4.6
	"55-64 years"	"55-64"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	42104	42403677	99.3
	"55-64 years"	"55-64"	"Transport accidents"	"V01-V99"	6641	42403677	15.7
	"55-64 years"	"55-64"	"Other external causes of accidental injury"	"W00-X59"	21841	42403677	51.5
	"55-64 years"	"55-64"	"Intentional self-harm"	"X60-X84"	7149	42403677	16.9
	"55-64 years"	"55-64"	"Assault"	"X85-Y09"	1705	42403677	4.0
	"55-64 years"	"55-64"	"Event of undetermined intent"	"Y10-Y34"	1072	42403677	2.5
	"55-64 years"	"55-64"	"Legal intervention and operations of war"	"Y35-Y36"	61	42403677	0.1
	"55-64 years"	"55-64"	"Complications of medical and surgical care"	"Y40-Y84"	928	42403677	2.2
	"55-64 years"	"55-64"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	520	42403677	1.2
"Total"	"55-64 years"	"55-64"			440549	42403677	1038.9
	"65-74 years"	"65-74"	"Intestinal infectious diseases"	"A00-A09"	1457	32549398	4.5
	"65-74 years"	"65-74"	"Tuberculosis"	"A16-A19"	153	32549398	0.5
	"65-74 years"	"65-74"	"Certain zoonotic bacterial diseases"	"A20-A28"	19	32549398	Unreliable
	"65-74 years"	"65-74"	"Other bacterial diseases"	"A30-A49"	10536	32549398	32.4
	"65-74 years"	"65-74"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	15	32549398	Unreliable
	"65-74 years"	"65-74"	"Viral infections of the central nervous system"	"A80-A89"	249	32549398	0.8
	"65-74 years"	"65-74"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	18	32549398	Unreliable
	"65-74 years"	"65-74"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	115	32549398	0.4
	"65-74 years"	"65-74"	"Viral hepatitis"	"B15-B19"	1227	32549398	3.8
	"65-74 years"	"65-74"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	833	32549398	2.6
	"65-74 years"	"65-74"	"Other viral diseases"	"B25-B34"	672	32549398	2.1
	"65-74 years"	"65-74"	"Mycoses"	"B35-B49"	399	32549398	1.2
	"65-74 years"	"65-74"	"Protozoal diseases"	"B50-B64"	61	32549398	0.2
	"65-74 years"	"65-74"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	214	32549398	0.7
	"65-74 years"	"65-74"	"Other infectious diseases"	"B99-B99"	113	32549398	0.3
	"65-74 years"	"65-74"	"Malignant neoplasms"	"C00-C97"	175464	32549398	539.1
	"65-74 years"	"65-74"	"In situ neoplasms"	"D00-D09"	32	32549398	0.1
	"65-74 years"	"65-74"	"Benign neoplasms"	"D10-D36"	320	32549398	1.0
	"65-74 years"	"65-74"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	2926	32549398	9.0
	"65-74 years"	"65-74"	"Nutritional anaemias"	"D50-D53"	84	32549398	0.3
	"65-74 years"	"65-74"	"Haemolytic anaemias"	"D55-D59"	99	32549398	0.3
	"65-74 years"	"65-74"	"Aplastic and other anaemias"	"D60-D64"	845	32549398	2.6
	"65-74 years"	"65-74"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	640	32549398	2.0
	"65-74 years"	"65-74"	"Other diseases of blood and blood-forming organs"	"D70-D76"	324	32549398	1.0
	"65-74 years"	"65-74"	"Certain disorders involving the immune mechanism"	"D80-D89"	457	32549398	1.4
	"65-74 years"	"65-74"	"Disorders of thyroid gland"	"E00-E07"	337	32549398	1.0
	"65-74 years"	"65-74"	"Diabetes mellitus"	"E10-E14"	27213	32549398	83.6
	"65-74 years"	"65-74"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	157	32549398	0.5
	"65-74 years"	"65-74"	"Disorders of other endocrine glands"	"E20-E34"	136	32549398	0.4
	"65-74 years"	"65-74"	"Malnutrition"	"E40-E46"	1818	32549398	5.6
	"65-74 years"	"65-74"	"Other nutritional deficiencies"	"E50-E64"	77	32549398	0.2
	"65-74 years"	"65-74"	"Obesity and other hyperalimentation"	"E65-E68"	2332	32549398	7.2
	"65-74 years"	"65-74"	"Metabolic disorders"	"E70-E88"	7254	32549398	22.3
	"65-74 years"	"65-74"	"Organic, including symptomatic, mental disorders"	"F01-F09"	8554	32549398	26.3
	"65-74 years"	"65-74"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	3288	32549398	10.1
	"65-74 years"	"65-74"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	236	32549398	0.7
	"65-74 years"	"65-74"	"Mood [affective] disorders"	"F30-F39"	171	32549398	0.5
	"65-74 years"	"65-74"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	64	32549398	0.2
	"65-74 years"	"65-74"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	73	32549398	0.2
	"65-74 years"	"65-74"	"Mental retardation"	"F70-F79"	77	32549398	0.2
	"65-74 years"	"65-74"	"Disorders of psychological development"	"F80-F89"	18	32549398	Unreliable
	"65-74 years"	"65-74"	"Inflammatory diseases of the central nervous system"	"G00-G09"	342	32549398	1.1
	"65-74 years"	"65-74"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	3104	32549398	9.5
	"65-74 years"	"65-74"	"Extrapyramidal and movement disorders"	"G20-G25"	6826	32549398	21.0
	"65-74 years"	"65-74"	"Other degenerative diseases of the nervous system"	"G30-G31"	13759	32549398	42.3
	"65-74 years"	"65-74"	"Demyelinating diseases of the central nervous system"	"G35-G37"	1602	32549398	4.9
	"65-74 years"	"65-74"	"Episodic and paroxysmal disorders"	"G40-G47"	926	32549398	2.8
	"65-74 years"	"65-74"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	233	32549398	0.7
	"65-74 years"	"65-74"	"Diseases of myoneural junction and muscle"	"G70-G72"	483	32549398	1.5
	"65-74 years"	"65-74"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	642	32549398	2.0
	"65-74 years"	"65-74"	"Other disorders of the nervous system"	"G90-G98"	3310	32549398	10.2
	"65-74 years"	"65-74"	"Diseases of middle ear and mastoid"	"H65-H74"	15	32549398	Unreliable
	"65-74 years"	"65-74"	"Chronic rheumatic heart diseases"	"I05-I09"	702	32549398	2.2
	"65-74 years"	"65-74"	"Hypertensive diseases"	"I10-I15"	21562	32549398	66.2
	"65-74 years"	"65-74"	"Ischaemic heart diseases"	"I20-I25"	81703	32549398	251.0
	"65-74 years"	"65-74"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	3923	32549398	12.1
	"65-74 years"	"65-74"	"Other forms of heart disease"	"I30-I51"	34694	32549398	106.6
	"65-74 years"	"65-74"	"Cerebrovascular diseases"	"I60-I69"	26363	32549398	81.0
	"65-74 years"	"65-74"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	5134	32549398	15.8
	"65-74 years"	"65-74"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	938	32549398	2.9
	"65-74 years"	"65-74"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	149	32549398	0.5
	"65-74 years"	"65-74"	"Acute upper respiratory infections"	"J00-J06"	32	32549398	0.1
	"65-74 years"	"65-74"	"Influenza and pneumonia"	"J09-J18"	10460	32549398	32.1
	"65-74 years"	"65-74"	"Other acute lower respiratory infections"	"J20-J22"	35	32549398	0.1
	"65-74 years"	"65-74"	"Other diseases of upper respiratory tract"	"J30-J39"	110	32549398	0.3
	"65-74 years"	"65-74"	"Chronic lower respiratory diseases"	"J40-J47"	38559	32549398	118.5
	"65-74 years"	"65-74"	"Lung diseases due to external agents"	"J60-J70"	3419	32549398	10.5
	"65-74 years"	"65-74"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	5148	32549398	15.8
	"65-74 years"	"65-74"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	218	32549398	0.7
	"65-74 years"	"65-74"	"Other diseases of pleura"	"J90-J94"	361	32549398	1.1
	"65-74 years"	"65-74"	"Other diseases of the respiratory system"	"J96-J98"	4480	32549398	13.8
	"65-74 years"	"65-74"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	49	32549398	0.2
	"65-74 years"	"65-74"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	1572	32549398	4.8
	"65-74 years"	"65-74"	"Diseases of appendix"	"K35-K38"	86	32549398	0.3
	"65-74 years"	"65-74"	"Hernia"	"K40-K46"	378	32549398	1.2
	"65-74 years"	"65-74"	"Noninfective enteritis and colitis"	"K50-K52"	348	32549398	1.1
	"65-74 years"	"65-74"	"Other diseases of intestines"	"K55-K63"	4921	32549398	15.1
	"65-74 years"	"65-74"	"Diseases of peritoneum"	"K65-K66"	593	32549398	1.8
	"65-74 years"	"65-74"	"Diseases of liver"	"K70-K76"	16003	32549398	49.2
	"65-74 years"	"65-74"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	1976	32549398	6.1
	"65-74 years"	"65-74"	"Other diseases of the digestive system"	"K90-K92"	1999	32549398	6.1
	"65-74 years"	"65-74"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	722	32549398	2.2
	"65-74 years"	"65-74"	"Bullous disorders"	"L10-L13"	23	32549398	0.1
	"65-74 years"	"65-74"	"Urticaria and erythema"	"L50-L53"	25	32549398	0.1
	"65-74 years"	"65-74"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	476	32549398	1.5
	"65-74 years"	"65-74"	"Arthropathies"	"M00-M25"	724	32549398	2.2
	"65-74 years"	"65-74"	"Systemic connective tissue disorders"	"M30-M35"	846	32549398	2.6
	"65-74 years"	"65-74"	"Dorsopathies"	"M40-M54"	412	32549398	1.3
	"65-74 years"	"65-74"	"Soft tissue disorders"	"M60-M79"	586	32549398	1.8
	"65-74 years"	"65-74"	"Osteopathies and chondropathies"	"M80-M94"	803	32549398	2.5
	"65-74 years"	"65-74"	"Glomerular diseases"	"N00-N07"	203	32549398	0.6
	"65-74 years"	"65-74"	"Renal tubulo-interstitial diseases"	"N10-N15"	397	32549398	1.2
	"65-74 years"	"65-74"	"Renal failure"	"N17-N19"	11249	32549398	34.6
	"65-74 years"	"65-74"	"Urolithiasis"	"N20-N23"	142	32549398	0.4
	"65-74 years"	"65-74"	"Other disorders of kidney and ureter"	"N25-N28"	1458	32549398	4.5
	"65-74 years"	"65-74"	"Other diseases of urinary system"	"N30-N39"	2280	32549398	7.0
	"65-74 years"	"65-74"	"Diseases of male genital organs"	"N40-N50"	217	32549398	0.7
	"65-74 years"	"65-74"	"Disorders of breast"	"N60-N64"	20	32549398	0.1
	"65-74 years"	"65-74"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	40	32549398	0.1
	"65-74 years"	"65-74"	"Noninflammatory disorders of female genital tract"	"N80-N98"	62	32549398	0.2
	"65-74 years"	"65-74"	"Congenital malformations of the nervous system"	"Q00-Q07"	41	32549398	0.1
	"65-74 years"	"65-74"	"Congenital malformations of the circulatory system"	"Q20-Q28"	238	32549398	0.7
	"65-74 years"	"65-74"	"Other congenital malformations of the digestive system"	"Q38-Q45"	21	32549398	0.1
	"65-74 years"	"65-74"	"Congenital malformations of the urinary system"	"Q60-Q64"	95	32549398	0.3
	"65-74 years"	"65-74"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	19	32549398	Unreliable
	"65-74 years"	"65-74"	"Other congenital malformations"	"Q80-Q89"	88	32549398	0.3
	"65-74 years"	"65-74"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	192	32549398	0.6
	"65-74 years"	"65-74"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	761	32549398	2.3
	"65-74 years"	"65-74"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	77	32549398	0.2
	"65-74 years"	"65-74"	"Symptoms and signs involving the nervous and musculoskeletal systems"	"R25-R29"	15	32549398	Unreliable
	"65-74 years"	"65-74"	"Symptoms and signs involving cognition, perception, emotional state and behaviour"	"R40-R46"	15	32549398	Unreliable
	"65-74 years"	"65-74"	"General symptoms and signs"	"R50-R68"	1790	32549398	5.5
	"65-74 years"	"65-74"	"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"	"R90-R94"	62	32549398	0.2
	"65-74 years"	"65-74"	"Ill-defined and unknown causes of mortality"	"R95-R99"	1860	32549398	5.7
	"65-74 years"	"65-74"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	76295	32549398	234.4
	"65-74 years"	"65-74"	"Transport accidents"	"V01-V99"	4381	32549398	13.5
	"65-74 years"	"65-74"	"Other external causes of accidental injury"	"W00-X59"	13872	32549398	42.6
	"65-74 years"	"65-74"	"Intentional self-harm"	"X60-X84"	4709	32549398	14.5
	"65-74 years"	"65-74"	"Assault"	"X85-Y09"	722	32549398	2.2
	"65-74 years"	"65-74"	"Event of undetermined intent"	"Y10-Y34"	410	32549398	1.3
	"65-74 years"	"65-74"	"Legal intervention and operations of war"	"Y35-Y36"	20	32549398	0.1
	"65-74 years"	"65-74"	"Complications of medical and surgical care"	"Y40-Y84"	1385	32549398	4.3
	"65-74 years"	"65-74"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	411	32549398	1.3
"Total"	"65-74 years"	"65-74"			674507	32549398	2072.3
	"75-84 years"	"75-84"	"Intestinal infectious diseases"	"A00-A09"	1956	16451547	11.9
	"75-84 years"	"75-84"	"Tuberculosis"	"A16-A19"	126	16451547	0.8
	"75-84 years"	"75-84"	"Certain zoonotic bacterial diseases"	"A20-A28"	12	16451547	Unreliable
	"75-84 years"	"75-84"	"Other bacterial diseases"	"A30-A49"	11399	16451547	69.3
	"75-84 years"	"75-84"	"Viral infections of the central nervous system"	"A80-A89"	145	16451547	0.9
	"75-84 years"	"75-84"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	20	16451547	0.1
	"75-84 years"	"75-84"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	155	16451547	0.9
	"75-84 years"	"75-84"	"Viral hepatitis"	"B15-B19"	307	16451547	1.9
	"75-84 years"	"75-84"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	242	16451547	1.5
	"75-84 years"	"75-84"	"Other viral diseases"	"B25-B34"	895	16451547	5.4
	"75-84 years"	"75-84"	"Mycoses"	"B35-B49"	252	16451547	1.5
	"75-84 years"	"75-84"	"Protozoal diseases"	"B50-B64"	56	16451547	0.3
	"75-84 years"	"75-84"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	267	16451547	1.6
	"75-84 years"	"75-84"	"Other infectious diseases"	"B99-B99"	115	16451547	0.7
	"75-84 years"	"75-84"	"Malignant neoplasms"	"C00-C97"	162876	16451547	990.0
	"75-84 years"	"75-84"	"In situ neoplasms"	"D00-D09"	39	16451547	0.2
	"75-84 years"	"75-84"	"Benign neoplasms"	"D10-D36"	446	16451547	2.7
	"75-84 years"	"75-84"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	4596	16451547	27.9
	"75-84 years"	"75-84"	"Nutritional anaemias"	"D50-D53"	119	16451547	0.7
	"75-84 years"	"75-84"	"Haemolytic anaemias"	"D55-D59"	108	16451547	0.7
	"75-84 years"	"75-84"	"Aplastic and other anaemias"	"D60-D64"	1080	16451547	6.6
	"75-84 years"	"75-84"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	626	16451547	3.8
	"75-84 years"	"75-84"	"Other diseases of blood and blood-forming organs"	"D70-D76"	240	16451547	1.5
	"75-84 years"	"75-84"	"Certain disorders involving the immune mechanism"	"D80-D89"	329	16451547	2.0
	"75-84 years"	"75-84"	"Disorders of thyroid gland"	"E00-E07"	449	16451547	2.7
	"75-84 years"	"75-84"	"Diabetes mellitus"	"E10-E14"	25445	16451547	154.7
	"75-84 years"	"75-84"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	135	16451547	0.8
	"75-84 years"	"75-84"	"Disorders of other endocrine glands"	"E20-E34"	164	16451547	1.0
	"75-84 years"	"75-84"	"Malnutrition"	"E40-E46"	3475	16451547	21.1
	"75-84 years"	"75-84"	"Other nutritional deficiencies"	"E50-E64"	60	16451547	0.4
	"75-84 years"	"75-84"	"Obesity and other hyperalimentation"	"E65-E68"	1068	16451547	6.5
	"75-84 years"	"75-84"	"Metabolic disorders"	"E70-E88"	8756	16451547	53.2
	"75-84 years"	"75-84"	"Organic, including symptomatic, mental disorders"	"F01-F09"	31687	16451547	192.6
	"75-84 years"	"75-84"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	898	16451547	5.5
	"75-84 years"	"75-84"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	155	16451547	0.9
	"75-84 years"	"75-84"	"Mood [affective] disorders"	"F30-F39"	208	16451547	1.3
	"75-84 years"	"75-84"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	68	16451547	0.4
	"75-84 years"	"75-84"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	82	16451547	0.5
	"75-84 years"	"75-84"	"Mental retardation"	"F70-F79"	32	16451547	0.2
	"75-84 years"	"75-84"	"Inflammatory diseases of the central nervous system"	"G00-G09"	269	16451547	1.6
	"75-84 years"	"75-84"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	2089	16451547	12.7
	"75-84 years"	"75-84"	"Extrapyramidal and movement disorders"	"G20-G25"	18123	16451547	110.2
	"75-84 years"	"75-84"	"Other degenerative diseases of the nervous system"	"G30-G31"	50102	16451547	304.5
	"75-84 years"	"75-84"	"Demyelinating diseases of the central nervous system"	"G35-G37"	1008	16451547	6.1
	"75-84 years"	"75-84"	"Episodic and paroxysmal disorders"	"G40-G47"	723	16451547	4.4
	"75-84 years"	"75-84"	"Nerve, nerve root and plexus disorders"	"G50-G58"	11	16451547	Unreliable
	"75-84 years"	"75-84"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	237	16451547	1.4
	"75-84 years"	"75-84"	"Diseases of myoneural junction and muscle"	"G70-G72"	674	16451547	4.1
